tracks/artist,tracks/album,tracks/track
Mon Laferte,La Trenza,Mi Buen Amor
INTERSECTION,New Page,New Page
Aimer,Best Selection Blanc,Kataomoi
Counting Crows,Films About Ghosts: The Best Of...,"Accidentally In Love - From ""Shrek 2"" Soundtrack"
MAN WITH A MISSION,Seven Deadly Sins,Seven Deadly Sins
Alkilados,Una Cita,Una Cita
Raon Lee,My Hero Academia Op 2 - Peace Sign,My Hero Academia Op 2 - Peace Sign
Nicky Jam,Fénix,El Amante
Los Bunkers,Música Libre,Santiago De Chile
Joe Vasconcellos,Verde Cerca,Ciudad Traicionera
Reik,Des/Amor,Spanglish
Empire Cast,Original Soundtrack from Season 1 of Empire,Good Enough (feat. Jussie Smollett)
Jotdog,Celebración,Celebración
Vickeblanka,Devil,Black Catcher
Laharl Square,Requiem Der Morgenrote,Requiem Der Morgenrote
Walter Coppola,Don't Worry Child,Don't Worry Child
Chini and The Technicians,En el Fondo Todo Va Bien,Cita a Ciegas
Goran Bregović,Welcome to Goran Bregovic,"Bella ciao - Live in Rome, 2016"
The Covers Duo,Anime Openings / Endings 7,Make My Story
Kent Y Tony,No Me Llames Mas,No Me Llames Mas
Michael Jackson,XSCAPE,Love Never Felt So Good (Original Version)
Gabriela Vega,Shaman King,Over Soul
Huwie Ishizaki,Huwie Best,Pino To Ameri
Ricardo Silva,Ricardo Silva (Original Motion Picture Soundtrack),Break up Digimon 2 - Tv
Airbag,Blanco y Negro,Amor de verano
SHAYNA,Colorful World,Colorful World
Jade,Anime Entre Amigos,Sake de Binks (One Piece)
Dread Mar I,Morena,Morena
Julieta Venegas,Si,Lento
Omar Acedo,Solo Contigo,Solo Contigo
KEH,"Butter-fly (From ""Digimon"")","Butter-fly (From ""Digimon"")"
Ha*Ash,30 de Febrero,30 de Febrero
The Ready Set,The Bad & The Better,Give Me Your Hand (Best Song Ever)
Bigal & L Jake,Tu y Yo,Tu y Yo
Twenty One Pilots,Blurryface,Stressed Out
Alan Rojas,Shinzou Wo Sasageyo,Shinzou Wo Sasageyo - Versión Español
Anuel AA,Amanece,Amanece
Come & C,Clothes Off,Clothes Off
Hailee Steinfeld,HAIZ,Rock Bottom
Alkilados,El Orgullo,El Orgullo - Pop
NateWantsToBattle,Make My Story,Make My Story
Erre XI,Luny Tunes Presents ERRE XI,Carita Bonita
RADWIMPS,Your Name.,Dream lantern - English ver.
Mon Laferte,La Trenza,Flaco
Parachute,Crave,Crave
R. City,Locked Away (feat. Adam Levine),Locked Away (feat. Adam Levine)
Coti,Nunca Tendre,Nunca Tendré
SEKAI NO OWARI,ANTI-HERO,ANTI-HERO
Marala,La Dueña de Tu Amor,La Dueña de Tu Amor
Ivan Zavala,Te Sigo Esperando (feat. Valeria Baroni),Te Sigo Esperando (feat. Valeria Baroni)
Alkilados,Confesión,Confesión
MisterWives,Connect The Dots,Coloring Outside The Lines
Ana Tijoux,Vengo,Vengo
Francisca Valenzuela,Ya No Se Trata de Ti (Acoustic Version),Ya No Se Trata de Ti - Acoustic Version
Nahko And Medicine For The People,Dark As Night,Aloha Ke Akua
CHANO,Carnavalintro,Carnavalintro
Sofia Carson,Love Is the Name,Love Is the Name
Daughtry,Baptized (Deluxe Version),Battleships
Ozuna,Vaina Loca,Vaina Loca
Jotdog,Jotdog,Las Pequeñas Cosas
Agapornis,Enamórate (feat. Dvicio),Enamórate (feat. Dvicio)
Piso 21,Te Vi,Te Vi
Meghan Trainor,Title,Like I'm Gonna Lose You (feat. John Legend)
Lauren Platt,King Years and Years Cover,King Years and Years Cover
Akano,"Gurenge (From ""Demon Slayer: Kimetsu no Yaiba"")","Gurenge (From ""Demon Slayer: Kimetsu no Yaiba"")"
Los Bohemios,¡Qué Rico!,El Pirata
Farruko,Visionary,Sunset (feat. Shaggy & Nicky Jam)
Rawayana,RawayanaLand,Mamita (feat. Natalia Lafourcade)
Ismael Rivera,100 % Salsa,Mayores - Salsa
Night Tempo,杏里 - Night Tempo presents ザ・昭和グルーヴ,Remember Summer Days (Night Tempo Showa Groove Mix)
Fito Paez,La Conquista del Espacio,La Conquista del Espacio
P!nk,Beautiful Trauma,Beautiful Trauma
Aina Maro,Hot Chocolate,Hot Chocolate
Handsome Ghost,Steps,Steps
Avril Lavigne,Avril Lavigne (Expanded Edition),How You Remind Me
Wisin,Los Vaqueros: La Trilogía,Nota de Amor (feat. Daddy Yankee)
Paty Cantú,Valiente,Valiente
Aanysa,Burn Break Crash,Burn Break Crash
Thalía,Si Alguna Vez,Si Alguna Vez
Okills,Amigos,Amigos
Caloncho,Rock Millennial,Optimista
Girugamesh,INCOMPLETE,Limit Break
AmaLee,Hope (One Piece),Hope (One Piece)
Daniela Spalla,Camas Separadas,Estábamos Tan Bien
Shaggy,"I Need Your Love (Te Quiero Mas) (feat. Mohombi, Faydee & Costi)","I Need Your Love (Te Quiero Mas) (feat. Mohombi, Faydee & Costi)"
Michael Bublé,Nobody but Me,Today Is Yesterday's Tomorrow
Mando,Nos Buscamos,Nos Buscamos
Who Is Fancy,Boys Like You,Boys Like You
Maluma,Felices los 4,Felices los 4 - Salsa Version
Joel Adams,Please Don't Go,Please Don't Go
Agapornis,Agapornis - Volando Con Ritmo,Si Te Vas
Olly Murs,Right Place Right Time (Deluxe),Troublemaker (feat. Flo Rida)
Shamanes Crew,Reden-Zion,Amor Del Ghetto (feat. Ky Mani Marley)
Glup!,Welcome Polinesia,Grado 3
The Covers Duo,Anime Openings / Endings 7,Shiki No Uta
Camilo,Tutu,Tutu
BRADIO,POWER OF LIFE,真っ赤なカーチェイス
aekasora,Simple Things,almost there
Alkilados,La Bicicleta,La Bicicleta - Remix
Alejandro Fernández,Rompiendo Fronteras,Quiero Que Vuelvas
Maroon 5,Don't Wanna Know,Don't Wanna Know
Chino & Nacho,Radio Universo,Devuélveme El Amor
Kevin Roldan,Kevin Roldan (Special Edition),Una Noche Mas
Daniela Spalla,Bailando Lentos,Bailando Lentos
Miranda!,Fuerte,743
Panacea Project,"Sesiones Acusticas, Vol. 2",Addicted (feat. Monti Montanez)
ALL OFF,Refrain Boy,Refrain Boy
MisterWives,Connect The Dots,Revolution
Sandoval,Por Siempre Te Amaré,Por Siempre Te Amaré
Daichi Miura,Blizzard,Blizzard - Movie Edit - English Ver.
Calvin Harris,Funk Wav Bounces Vol.1,Hard to Love (feat. Jessie Reyez)
Woolf and the Wondershow,Cages,Cages
Brandon Flowers,Can't Deny My Love,Can't Deny My Love - Goshfather & Jinco Remix
Animelmack,Kyouran Hey Kids!!,Kyouran Hey Kids!!
Mon Laferte,Mon Laferte,Si Tú Me Quisieras
Lola Club,Lola Club,Vicio
Sublime With Rome,Sirens,Wherever You Go
Miura Jam,Kamado Tanjiro No Uta (Demon Slayer: Kimetsu No Yaiba),Kamado Tanjiro No Uta (Demon Slayer: Kimetsu No Yaiba)
Led Zeppelin,Led Zeppelin III,Immigrant Song - 2012 Remaster
Disclosure,Omen,Omen - Radio Edit
Paulina Rubio,Gran City Pop,Causa Y Efecto
NIHILS,Ultra Summer 2 (The Best In Deep and Tropical House),Help Our Souls - Urban Contact Remix
Zion & Lennox,Pierdo la Cabeza (Locombia Remix),Pierdo la Cabeza (Locombia Remix)
Kenshi Yonezu,Bootleg,Orion
NateWantsToBattle,"Gurenge (From ""Demon Slayer"")","Gurenge (From ""Demon Slayer"")"
Travis Mills,Young & Stupid,Young & Stupid
Los Vasquez,Contigo Pop y Cebolla,Qué Tienes Tú
Juan Miguel,Siento Bonito,Siento Bonito
Farruko,Farruko Presents Los Menores,Lejos De Aquí
Felix Gabriel,Love Yourself (Spanish Version),Love Yourself (Spanish Version)
Reyno,Viaje Por Lo Eterno,Nunca Me Dejes
Sebastian Yatra,Como Mirarte,Como Mirarte
LiSA,LiSA Best,Datte Atashino Hero
Najwa,Bella ciao,Bella ciao
Rombai,De Fiesta,Yo tambien
Elsa y Elmar,Rey,A La Deriva
Agapornis,Juntos,Crímenes Perfectos
David Versailles feat. Mario Guerrero,Bendita Locura,Bendita Locura
Wamba,Cómplices,Ella
Los Cadillac's,Me Marcharé (feat. Wisin),Me Marcharé (feat. Wisin)
Coti,Tanta Magia,Te Quise Tanto - En Vivo En El Gran Rex / 2015
El Otro Polo,Bajo el Sol,Bajo el Sol
Gepe,Joane,Joane
Attaque 77,Antihumano,Arrancacorazones
THE ORAL CIGARETTES,FIXION,Kyouran Hey Kids!!
NateWantsToBattle,"Haruka Mirai (From ""Black Clover"")","Haruka Mirai (From ""Black Clover"")"
Ken-Y,Princesa,Princesa
Maná,De Pies A Cabeza,De Pies A Cabeza
Life of Dillon,Prologue,Dreams
Matari,Malparida,Malparida
Aimer,Daydream,Kataomoi
Years & Years,Traps,Traps
WANIMA,Summer Trap!!,GONG
Ricky Martin,Vente Pa' Ca (feat. Wendy),Vente Pa' Ca (feat. Wendy)
Fausto Miño,Amor de Dos,Amor de Dos
Nico & Vinz,Am I Wrong,Am I Wrong
Little Mix,Black Magic,Black Magic
Marco Mares,Gris,Gris
Daniela Spalla,Amor Difícil,Amor Difícil
Alexandra Stan,We wanna (feat. Daddy Yankee),We Wanna (feat. Daddy Yankee) - Radio Edit
Laharl Square,"Inferno (From ""Fire Force"")","Inferno (From ""Fire Force"")"
Caloncho,Fruta,Palmar
Avicii,Stories,Waiting For Love
Pasabordo,Paso a Paso,El Besito
Olly Murs,Right Place Right Time (Deluxe),Oh My Goodness
Malacates Trebol Shop,A Quien Corresponda.,Luna Llena (feat. Gaby Moreno)
Coti,Esta Mañana Y Otros Cuentos,Nada Fue Un Error - Live In Spain / 2005
Any O',Vibrations,Vibrations
David Otero,Ultramar,Peces Voladores
Life of Dillon,Prologue,Toys
Matute,"Matute En Vivo, Vol. 2",So Stupid (Bonus Track)
Siddhartha,El Vuelo del Pez,Loco
Becky G,Cuando Te Besé,Cuando Te Besé
Shakey Graves,And The War Came,If Not For You
安斉かれん,人生は戦場だ,人生は戦場だ - Prod.by ats-
Clean Bandit,New Eyes,Stronger
XY&O,Low Tide,Low Tide
MANDY B.BLUE,MANDY B.BLUE #1 -Haneda International Anime Music Festival Presents-,A Cruel Angel's Thesis
Trevor Guthrie,Summertime (Remixes),Summertime - Tep No Radio Edit
Gepe,Ciencia Exacta,Hoy
SCANDAL,Honey,Take Me Out
Esteman,Rock Millennial,Noche Sensorial
Alkilados,Pura Playa,Amor a Primera Vista
Mon Laferte,Tornasol,Orgasmo para Dos
Banda Conmoción,El Derecho de Vivir en Paz,El Derecho de Vivir en Paz
Robin Schulz,Sugar (feat. Francesco Yates),Sugar (feat. Francesco Yates)
