,artist,album,track_name,track_id,danceability,energy,key,loudness,mode,speechiness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,acousticness
0,RC Succession,COMPLETE EPLP ~ALL TIME SINGLE COLLECTION~,イエスタデイをうたって,2gup5lzj159IOK5dslfizo,0.523,0.519,2,-8.574,0,0.0301,0,0.183,0.745,136.891,172707,4,0.293
1,(K)NoW_NAME,TVアニメ『Fairy gone フェアリーゴーン』OP&ED THEME SONG「KNOCK on the CORE/Ash-like Snow」,Ash-like Snow,0ORcxmgIVTRXx8GM4WM9Gr,0.359,0.892,2,-4.471,1,0.046,0.00013,0.072,0.519,189.968,253253,3,0.000109
2,Kenichiro Suehiro,OVA「Re:ゼロから始める異世界生活 Memory Snow」Memory Album,Relive,0jChVCmWd2idwnPlFRBsW0,0.507,0.889,9,-3.141,0,0.049,2.79e-06,0.0593,0.592,97.859,241320,4,0.015
3,茅原実里,SPIRAL,みちしるべ,3dRVzK0PsqrT2WUuAGvitu,0.27,0.402,9,-6.197,1,0.0339,0,0.0871,0.224,173.35,286427,4,0.165
4,TOTALFAT,Grown Kids,Place to Try - Live at 新木場STUDIO COAST「FAST AND TIGHT tour 2017」2017.10.29,5JBI6sulnELvh0e2FPmWey,0.38,0.95,6,-4.258,1,0.127,3.71e-05,0.328,0.283,114.19,350173,4,0.0183
5,m-flo,KYO,HUMAN LOST - feat. J. Balvin,2BqTI7GyLw6vbiSgSOlyYq,0.617,0.671,0,-5.618,1,0.0451,0,0.135,0.238,146.955,280065,4,0.108
6,Mugi Piano,"Centimeter (Rent-A-Girlfriend: Kanojo, Okarishimasu)","Centimeter (Rent-A-Girlfriend: Kanojo, Okarishimasu)",1XDszEPnk8OKMlvwkibWaM,0.514,0.411,2,-15.436,1,0.0417,0.961,0.119,0.592,145.024,84877,4,0.983
7,加藤達也,TVアニメ「Dr.STONE」オリジナルサウンドトラック,Get Exited!!,2SXFwTCSToTgJOLZSO5RkR,0.609,0.873,9,-9.702,0,0.0342,0.81,0.0557,0.554,119.964,132467,4,0.0207
8,Kiyoharu,Japanese Menu / Distortion 10,Survive of Vision,7Kityan4QrYIrCc5ekm9lF,0.418,0.832,11,-4.906,0,0.0638,1.99e-05,0.0945,0.296,95.916,277067,3,0.204
9,张赫宣,亲爱的姑娘你为何要离开 (动画《刺客伍六七》插曲),亲爱的姑娘你为何要离开 - 动画《刺客伍六七》插曲,6oHhbl4ZI63oNhRmIAs7lU,0.286,0.387,7,-6.123,0,0.0301,0,0.115,0.287,185.742,286029,3,0.515
10,Otaku Ongaku,Shiki No Uta (Samurai Champloo),Shiki No Uta (Samurai Champloo),4CKNkbsDy0Y8bYZeDpJmOx,0.423,0.852,10,-4.612,0,0.111,0.00216,0.117,0.506,183.908,299044,4,0.203
11,yourness,籠の中に鳥,籠の中に鳥,12w8fa09F3TDzKi9x6TLrl,0.406,0.705,2,-4.65,1,0.0345,4.21e-06,0.113,0.3,161.863,316545,4,0.0234
12,Yuki Hayashi,TVアニメ『僕のヒーローアカデミア』4th オリジナルサウンドトラック,Might,6YD0zF5VFBXvwmQqAlZWnE,0.156,0.297,7,-8.688,1,0.0311,3.04e-05,0.0584,0.0975,87.084,343000,5,0.78
