,PC1,PC2,PC3,PC4,PC5,PC6,PC7
danceability,0.17089887935578116,0.5917213757240736,-0.2514062973302572,-0.10446589236741202,0.25651552232163033,-0.21003244365880278,-0.09722710618208277
energy,0.46756983772626304,-0.2266166360373253,-0.005841332863041466,0.001844189617260717,-0.01005281700482091,0.03211005154872616,0.09006660780793274
key,0.05807341115833392,0.13526398042841326,0.3515465947613118,0.31771469122018803,0.424162792454327,0.5814917742240767,-0.46577248765675944
loudness,0.48010843231137823,-0.013989159621401783,-0.022347750715898538,-0.03214512323461735,-0.03268405864144265,0.05062703148744404,-0.01120165356968682
mode,-0.028088688704918464,-0.12210982600064893,-0.24006613428751497,-0.6687184363309107,-0.20749930565034044,0.17525733104812477,-0.5754072451912082
speechiness,0.07545641979295546,-0.11799646189371933,0.4176116806983723,-0.19444315368067422,0.42012001393222315,-0.6496583477771452,-0.20117219023465083
acousticness,-0.38393112253839773,0.2654825529689477,0.13295341204213412,-0.1982605554893465,0.10080217813634611,-0.03323424498074869,-0.06145355541275545
instrumentalness,-0.3816348776745032,0.15238823952880984,0.26207536404956655,-0.04726444824098708,-0.10053900221026126,-0.025951313049514684,0.06368199319594307
liveness,0.11648054053548001,-0.31597073095791495,0.17367263446228032,-0.44539492267364617,0.4305466433554005,0.22645207610209006,0.3080536961372615
valence,0.32558062930142123,0.3797265145038162,-0.16724054305977315,0.033337407252411,0.09773518215824709,-0.09325349323627605,0.02454051212745722
tempo,0.191879507311079,-0.09205331818504092,0.47278675883235444,0.15664246254218844,-0.46157652924096115,-0.19934653441290706,-0.2535702618425241
duration_ms,-0.07770396936976325,-0.32488282482871406,-0.37698250593758686,0.3046017261745907,0.17206118097975226,-0.23231719801902162,-0.46412267608063584
time_signature,0.2373569988638501,0.3153238728581819,0.265537641447928,-0.20920513084868708,-0.2751543697086431,0.07696345062507007,-0.10374330063048484
