,artist,album,track_name,track_id,danceability,energy,key,loudness,mode,speechiness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,acousticness
0,DLD,Transcender,A PARTIR DE MAÑANA,4xzH7xYOpi2EX7FmVircKO,0.489,0.834,9,-5.402,1,0.0529,1.04e-05,0.36,0.796,167.812,251547,4,0.0118
1,Wantaways,The Turning Point,The Turning Point,6Or84r7sBRNO4WBep52I4k,0.61,0.704,11,-5.696,0,0.0285,0.00152,0.0919,0.603,104.893,154823,4,0.0174
2,Adrian Barba,"Peace Sign (From ""Boku no Hero Academia)","Peace Sign (From ""Boku no Hero Academia)",4eqaV8KM0wNV0z7sxDDxQt,0.612,0.908,10,-5.138,0,0.0742,0.0,0.343,0.696,100.03,236866,4,0.0234
3,Sou,ミスターフィクサー,ミスターフィクサー,3Sa8nfES4XtU6K83YWm5G6,0.619,0.947,0,-4.021,1,0.169,0.0,0.131,0.672,144.992,219813,4,0.16
4,Solence,Phoenix,Phoenix,3WbiB6D07BsPJeCu1IPUoR,0.403,0.878,6,-5.823,1,0.159,1.87e-05,0.135,0.333,175.989,167823,4,0.00436
5,Coda,JOJO'S BIZARRE ADVENTURE -The anthology songs 2,Goodbye Nostalgia,7gmlOth9vdXReTBwwylt87,0.392,0.419,4,-7.539,1,0.0267,0.0,0.345,0.259,79.982,271227,4,0.419
6,神前 暁,TVアニメ「BEASTARS」オリジナルサウンドトラック,A Tale of Moon,6kPD2kV1rvSin87qEh4Rii,0.269,0.121,4,-16.735,1,0.0382,0.0,0.102,0.773,157.421,54373,4,0.969
7,Capcom Sound Team,DEVIL MAY CRY 5 Original SoundTrack,Legacy (DMC5 Main Theme),02r3YeTkPV4nzgPEyqunwx,0.35,0.313,0,-8.103,1,0.0375,0.0,0.0994,0.0637,114.707,186984,3,0.587
8,Cat Trumpet,Parasyte (Piano Collection),Let Me Hear,31zh5LoX1xeNG01HwfjUqS,0.497,0.238,6,-24.567,0,0.042,0.905,0.117,0.392,182.009,233375,4,0.977
9,Various Artists,JAPAN ANIMESONG COLLECTION VOL.12 [アニソン・ジャパン],BRAND NEW WORLD (ワンピース),62P8KL6DrO8mCmQHXS6VUO,0.538,0.865,8,-4.884,1,0.0413,0.0,0.37,0.497,160.034,258000,4,0.00027
10,Various Artists,JAPAN ANIMESONG COLLECTION VOL.22 [アニソン・ジャパン],Crazy Rainbow (ワンピース),4C7J1womk91Vnx3tpNub7N,0.389,0.867,7,-3.881,1,0.0473,9.27e-05,0.78,0.683,190.148,218446,4,0.00654
11,PokéMixr92,"I'm A Monster (From ""One Punch Man Season 2"")","I'm A Monster (From ""One Punch Man Season 2"")",6vRE8juuDIQXRy1pmP5Csm,0.553,0.633,7,-10.807,1,0.0378,0.93,0.0761,0.283,108.08,187824,4,0.00836
12,Rastacuando,Sufro,Sufro,1UNHP4oJdW1vBo3ncKd15y,0.66,0.414,11,-8.435,1,0.0518,1.07e-06,0.139,0.801,144.931,150955,4,0.21
13,H-el-ical//,Altern-ate-,Altern-ate-,6IJJ8gIHQduNLbCIfvdSbF,0.411,0.913,10,-2.037,0,0.0805,0.0,0.0839,0.637,80.076,238587,4,0.00328
14,Kevin Osvaldo,Por Instinto,Por Instinto,5PcvQOoyXlagMlD8M7J4mH,0.605,0.68,0,-9.606,1,0.148,5.9e-06,0.321,0.876,150.412,159348,3,0.0635
15,TRVSS,Mayhem,Mayhem,7acFRrjxAHWYojKM02fUod,0.456,0.771,10,-7.481,0,0.047,0.000949,0.103,0.282,91.983,317745,4,0.00723
16,Banda Suzaku,Saint Seiya Overture,Megami No Senshi (Pegasus Forever),1M8WQ5fHIS8ZG12D1nBuZ3,0.182,0.91,7,-4.002,1,0.0899,0.0,0.0822,0.359,174.49,239260,4,0.0031
17,Mashup & Cozy Condition,Devil at Your Door,Devil at Your Door,5yrQGYVuzBPx9siFgyglbZ,0.697,0.633,1,-8.822,1,0.0618,0.0738,0.184,0.644,110.018,192417,4,0.295
18,dj-Jo,Blue Bird (Remix),Blue Bird - Remix,52WHV8iASjljaq5geh89Lo,0.523,0.915,6,-2.344,0,0.0908,1.89e-05,0.104,0.773,151.976,222845,4,0.0101
19,Arawato,Suplentes,Suplentes,19iju9OH5yhuUV9cZvrEQx,0.678,0.596,7,-8.357,0,0.0321,0.000192,0.383,0.409,119.016,230058,3,0.192
20,Yndio,Dio Eleve,Dio Eleve,50Gz5dUfWWnyf4TqWawvwS,0.516,0.422,4,-16.505,1,0.0383,0.681,0.085,0.0397,91.084,125145,4,0.215
21,Akari Kito,Desire Again,Tiny Light,3nMWM6o4pD6lAkDRPdcqvh,0.497,0.947,7,-3.99,1,0.061,1.33e-05,0.191,0.302,169.995,290813,4,0.0351
22,Tomohisa Sako,Sakotomo Best,Fukanzen Monoclogue,1xepRRPT2z3xFVU0YH2N5f,0.379,0.938,5,-4.588,0,0.233,0.0,0.124,0.565,133.385,243280,4,0.00315
23,Donovan,Miel,Miel,54wBDMTTaoKIY0eErx6wDx,0.396,0.378,1,-13.818,1,0.135,0.266,0.109,0.448,81.851,246613,4,0.789
24,私立モリモーリ学園 性春▽男子s,アニメ『ヤリチン☆ビッチ部』主題歌「Touch You」,Touch You,6qWEpnyU43Bcrx3vfbGuVm,0.604,0.964,8,-2.885,0,0.0487,3.57e-06,0.143,0.796,135.03,206180,4,0.00636
25,Omar Chaparro,Como Caído del Cielo,Cien Años,752RECXJzRLM6qS5gj23xU,0.335,0.33,7,-6.839,1,0.029,0.0,0.0876,0.494,94.629,222000,4,0.298
26,スズムfeat.そらる,絶望性:ヒーロー治療薬【通常盤】,絶望性:ヒーロー治療薬,10lASQ1YkiBFn1wiARFwPe,0.521,0.978,1,-2.95,0,0.176,1.62e-05,0.109,0.717,102.53,204707,4,0.00374
27,Werner Heldenachtt,Hombres Lunares,Hombres Lunares,63jla5JphXY03k1dtIID2B,0.325,0.353,1,-15.453,1,0.0544,0.0,0.176,0.334,149.743,169080,4,0.748
28,Thus Far,Silver Cord,Silver Cord,6zbK0Ii8ufWbRSAEQX88sY,0.248,0.921,7,-7.002,1,0.127,0.00334,0.455,0.106,139.97,235285,3,0.00258
29,Mafumafu,Kagurairo Artifact,Sacrifice,73edp4NGGZZJgrtt6qxlHT,0.354,0.977,7,-2.443,0,0.157,0.0,0.33,0.188,94.768,254904,4,0.045
