,artist,album,track_name,track_id,danceability,energy,key,loudness,mode,speechiness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,acousticness
0,Lasso,El Exilio Voluntario De Una Mente Saturada,De Tú A Tú,2DsBBIZsZDgE31cbveZy6J,0.443,0.802,0,-5.922,0,0.149,0,0.194,0.665,88.495,195907,4,0.427
1,MEMAI SIREN,image_____ (Anime Version),image_____ - Anime Version,4VDTYGgJ32nvLXpyO8m2Lq,0.492,0.933,9,-3.657,1,0.0544,0.000653,0.197,0.236,100.563,89173,4,0.00154
2,"Kami-sama, I have noticed",名前のない青,名前のない青,0xSKobz5d2E8oIkwTumwkZ,0.531,0.917,8,-5.391,1,0.0679,0,0.34,0.631,99.01,206059,4,0.0301
3,Vete a la Versh,Balance Universal,Tiempo,7GwuppDoOWsMqobSN9e3pY,0.473,0.399,7,-5.793,1,0.0423,0,0.0873,0.571,199.739,206667,4,0.35
4,May'n,ViViD,ViViD,70oPbPhYSIxThsQFRHMYJB,0.534,0.977,1,-1.549,0,0.162,0,0.286,0.364,102.497,262284,4,0.13
5,加藤達也,TVアニメ「Dr.STONE」オリジナルサウンドトラック2,カンデンマンガン(Kung Dang Manganese),4dxyn09KeE7ArsOVHLM7gZ,0.811,0.813,5,-10.874,0,0.112,0.00425,0.0919,0.971,134.927,44032,4,0.00313
6,Nanawoakari,Turing Love / Piyo,ワンルームシュガーライフ(Live) @神田明神ホール 2019.7.7 - @ Kandamyoujin Hall 2019.7.7,1TEaMrldCFxhEmtIByV1DE,0.508,0.966,4,-2.618,0,0.11,0.00097,0.408,0.577,90.006,168353,4,0.00904
7,Mr. Goatee,"Inferno (From ""Promare"")","Inferno (From ""Promare"")",3PjrLmzhzTxCmUylK4rT3T,0.629,0.786,4,-7.075,1,0.0359,0,0.179,0.726,125.022,233000,4,0.109
8,AIKI from bless4,TVアニメーション「星合の空」ED主題歌 籠の中の僕らは,籠の中の僕らは,7uvTOqjPjb7deU8GtPYnFc,0.49,0.73,11,-5.681,1,0.0423,0,0.303,0.668,139.863,242000,4,0.0399
9,NOZOMU TANAKA(CV:CHINATSU AKASAKI),TV SERIES ”WASTEFUL DAYS OF HIGH SCHOOL GIRL” OPENING THEME「WA!MOON!DASS!CRY!」/ENDING THEME「REVERB OF SEISYUN」,WA!MOON!DASS!CRY!,5zTnib6aOMCkrQqVxQ8s6m,0.862,0.922,0,-3.028,1,0.0556,1.02e-05,0.063,0.88,128.003,255767,4,0.428
10,DATS,Game Over,Game Over,12fk7iavqWoHRRL9LZsWai,0.605,0.762,7,-6.0,1,0.042,0.00032,0.444,0.645,137.963,234159,4,0.0257
11,Kenichi Asai,Motor City,Motor City,4SUZzpeoCWbkuSyPhlcYhr,0.41,0.944,0,-2.484,1,0.15,0,0.359,0.558,93.469,167520,4,0.000266
12,Nulbarich,2ND GALAXY,Kiss Me,3oWLxV0LKV4z2gWUOsX5zJ,0.651,0.841,11,-6.29,1,0.118,7.35e-06,0.349,0.689,94.139,218467,4,0.153
13,all at once,12cm,Take mo’ Chance,4H3wFEqxpE5uVLhMV5A50J,0.787,0.715,0,-4.967,1,0.0473,0,0.337,0.637,120.027,232200,4,0.0189
14,Anime Zing,"Bon Appétit♡S (From ""Blend S"")","Bon Appétit♡S (From ""Blend S"")",07R4Kn99vmVW8wkSE3CDV6,0.679,0.619,5,-7.16,1,0.06,0,0.293,0.916,151.987,90691,4,0.276
15,League of Legends,The Music of League of Legends: Season 8 (Original Game Soundtrack),Gun Goddess Miss Fortune (From League of Legends: Season 8),1GNZsyUyOxIIhka3vrL9AH,0.434,0.82,4,-9.313,1,0.0522,0.839,0.159,0.129,78.021,219346,4,0.00108
16,D-selections,AlegriA,AlegriA,2IpweUPafBsEGOsv9Anblr,0.458,0.972,8,-0.464,1,0.118,0,0.308,0.395,142.092,282880,4,0.129
17,フランシュシュ,ゾンビランドサガ フランシュシュ The Best,DEAD or RAP!!!,3TOEZRQfgPydsgzuMOeiZK,0.671,0.882,8,-4.117,1,0.464,1.7e-06,0.256,0.812,90.419,142187,4,0.728
18,Javi Moreno,Perreo Cuántico,Perreo Cuántico,6oRRk4jSbsiyWsvZ8WKVuf,0.77,0.881,6,-6.494,0,0.0766,0.141,0.134,0.318,107.024,219252,4,0.0895
19,FAKY,four,four - covered by KAHONO,0lDDRI3CcjoIFywtnRRL4z,0.495,0.708,10,-4.087,1,0.0355,6.7e-05,0.29,0.44,78.022,214227,4,0.4
20,Taisei Iwasaki,TVアニメ「血界戦線 & BEYOND」オリジナルサウンドトラック,TORTOISE KNIGHT,49kLVoaK9B4AE5wlqhTeV0,0.209,0.262,9,-10.152,0,0.0357,0.0169,0.0987,0.0395,138.886,368748,3,0.54
21,AnimationStation,Near Theme,Near Theme,6pmKEP15cS4e2q7nWl1ahC,0.314,0.669,8,-11.204,0,0.0385,0.963,0.085,0.198,134.984,408921,4,0.368
22,Flavio Jerome,Moving in Slow Motion,Who Are You,5w05hhFUrS9pHk449OeI8P,0.719,0.401,2,-9.953,0,0.0325,0.141,0.0884,0.584,143.952,196120,4,0.886
23,Amatsuki,Ark,Ark,10FuSRFaG4k0ylerO6CZE5,0.508,0.939,7,-2.472,1,0.114,0,0.344,0.559,99.829,202133,4,0.00488
24,QueParió!,Mi Roomie Es,Mi Roomie Es,2HNdhu8Dg1Q0MiGkMOfpwL,0.771,0.532,6,-8.47,0,0.117,0,0.0832,0.656,149.757,204509,4,0.0711
25,UROBOROS,Black Swallowtail (TV Edit),Black Swallowtail - TV Edit,6eeVQNBwOCXTpvs8GmDUp8,0.465,0.955,2,-4.021,0,0.115,0,0.373,0.379,101.837,90588,4,0.00205
26,ニートボーイスカウトキャラバン,君は天然色,君は天然色,27j9jyKvKOytcrPXo7WGGU,0.465,0.82,2,-0.787,1,0.0353,0,0.415,0.524,117.885,321347,4,0.162
27,MindaRyn,Gurenge,Gurenge,3SW8Lf0hyj8Pd7qiipK6Zf,0.601,0.817,4,-5.395,0,0.106,0,0.0717,0.488,134.978,237333,4,0.164
28,加藤達也,TVアニメ「Dr.STONE」オリジナルサウンドトラック,STONE WORLD,7wak9OT6C6DXvkuXG8aBcK,0.0817,0.558,6,-7.789,0,0.0352,0.0528,0.285,0.116,81.153,207467,3,0.148
29,EGO-WRAPPIN’,Dream Baby Dream,CAPTURE,48kIhMowDayLszTMtqdapj,0.684,0.813,0,-6.13,1,0.0445,0.00551,0.0697,0.617,112.198,242907,4,0.1
